metric,unit,mean,median,p95,maximum,count
orthogonality,frobenius,1.5525600360888347e-07,1.491153085453334e-07,2.938279806130595e-07,4.982381369700306e-07,10500
determinant,absolute,9.108157428272534e-08,1.1920928955078125e-07,2.384185791015625e-07,4.172325134277344e-07,10500
one_step,radian,0.012466196902096272,0.009790048003196716,0.029066668823361397,0.42706936597824097,9450
inverse,radian,0.001774993957951665,0.0013810680247843266,0.003996756859123707,0.02120552398264408,9450
