sector,dimension,mean_feature_std,effective_rank
rotation6d,6,0.7829068303108215,5.887025414691427
carrier,72,0.579179048538208,8.909119961051617
invariants,16,0.3007620573043823,2.408736517594955
artifacts,138,0.3162935674190521,1.3046422836507063
omega,3,17.46138572692871,2.9804537432989715
tangent,72,9.67176628112793,8.895683678265772
motion_invariants,16,0.47492027282714844,4.053155959255042
motion_artifacts,141,0.42563772201538086,6.770277259337969
