representation,mean_feature_std,effective_rank
content_last,0.5107870697975159,13.724956168069042
content_difference,0.7644472122192383,12.818985507278496
spatial_map_last_mean,0.029525425285100937,6.562249443507541
spatial_feature_rate_mean,0.020416095852851868,8.314788968030337
motion_forward_mean,0.5128508806228638,8.766417556267443
motion_backward_mean,0.5133674144744873,8.710494085724102
predicted_next_last,0.5107231140136719,13.66742050216462
