intervention,mean_angular_speed,omega_delta_from_forward,omega_reversal_error,motion_delta_from_forward,count
forward,29.317859649658203,0.0,58.635719299316406,0.0,9450
reversed,29.34893798828125,58.65882110595703,0.8159905076026917,15.826745986938477,9450
repeated_last,0.38181912899017334,29.335979461669922,29.304519653320312,12.25782585144043,9450
shuffled,34.573143005371094,39.50038528442383,41.86327362060547,12.708709716796875,9450
