representation,quantity,score,mean_deg,median_deg,p95_deg,r2_x,r2_y,r2_z,rmse_x,rmse_y,rmse_z
content_last,orientation,1.2657660003410494,1.2657660003410494,0.8922658350218295,3.5540068454710587,,,,,,
content_last,angular_velocity,-0.10468837628610432,,,,-0.14462529352642317,-0.09950584294731035,-0.06993399238457942,19.154313155663445,18.110184636517133,18.100709939367484
content_difference,orientation,53.43069772005158,53.43069772005158,46.9013757599783,143.9674551109166,,,,,,
content_difference,angular_velocity,-0.05470111641555538,,,,-0.0651759693051992,-0.05612609182726369,-0.04280128811420325,18.477601398538464,17.749331197165223,17.869726091747197
spatial_map_last_mean,orientation,10.733736117556072,10.733736117556072,6.799403563638513,30.960090426304546,,,,,,
spatial_map_last_mean,angular_velocity,-0.048669961944898255,,,,-0.09993325111169593,-0.01421956735903307,-0.03185706736396576,18.776648645279238,17.39362488775681,17.775707188938284
spatial_feature_rate_mean,orientation,58.99192826911198,58.99192826911198,47.47368813444738,165.9558690132194,,,,,,
spatial_feature_rate_mean,angular_velocity,-0.03399094355917772,,,,-0.051257308358257925,-0.02961699870141543,-0.0210985236178598,18.35648096149198,17.52515869300526,17.68279614882593
motion_forward_mean,orientation,27.66413170885983,27.66413170885983,17.000465108402405,98.12527966364368,,,,,,
motion_forward_mean,angular_velocity,0.9952157489663508,,,,0.997177853450273,0.9918058494655312,0.9966635439832484,0.9510967448727475,1.5634214865260503,1.010787396873715
motion_backward_mean,orientation,25.80894815975339,25.80894815975339,17.369629230862763,83.86398929779632,,,,,,
motion_backward_mean,angular_velocity,0.9951504401235024,,,,0.9969942149382695,0.9926262893770519,0.995830816055186,0.9815532718717908,1.4830887898105696,1.1299068577553177
predicted_next_last,orientation,3.0770040201303512,3.0770040201303512,2.516840744453825,7.588424242691415,,,,,,
predicted_next_last,angular_velocity,-0.04028762724774319,,,,-0.053068797672312096,-0.03202349411029748,-0.03577058996061999,18.372289772645043,17.545627274811885,17.80938423509979
