representation,quantity,score,mean_deg,median_deg,p95_deg,r2_x,r2_y,r2_z,rmse_x,rmse_y,rmse_z
content_last,orientation,0.21589981267259248,0.21589981267259248,0.17482350649297,0.5764881391677531,,,,,,
content_last,angular_velocity,-0.08884051286573998,,,,-0.1267312224550985,-0.05293629258159327,-0.08685402356052818,19.004002492776262,17.72250692965172,18.243271646582233
content_difference,orientation,54.74604480522278,54.74604480522278,47.74880419782393,140.9248967951294,,,,,,
content_difference,angular_velocity,-0.06010099234495714,,,,-0.07114276808411257,-0.0732184181434068,-0.03594179080735205,18.529282136591757,17.89238217036345,17.81085601645296
spatial_map_last_mean,orientation,12.934899956120496,12.934899956120496,7.740519396794558,44.92990144392976,,,,,,
spatial_map_last_mean,angular_velocity,-0.05044454378418339,,,,-0.09965742603795058,-0.020462271642357033,-0.031213933672242566,18.77429423185664,17.447073216380748,17.770166722890735
spatial_feature_rate_mean,orientation,59.441994464884566,59.441994464884566,46.36865261334613,167.15451800092495,,,,,,
spatial_feature_rate_mean,angular_velocity,-0.023784099320134217,,,,-0.03314126062336897,-0.026642805783053003,-0.011568231553980679,18.197627350902497,17.499828449477224,17.600082642823555
motion_forward_mean,orientation,59.4031282539372,59.4031282539372,42.415253958118605,169.733163133039,,,,,,
motion_forward_mean,angular_velocity,0.999714601543991,,,,0.999812390077813,0.9995395475064242,0.999791867047736,0.24522391171409008,0.37060947803672617,0.2524570705424403
motion_backward_mean,orientation,58.232826443785996,58.232826443785996,37.13169921266161,172.45145345116458,,,,,,
motion_backward_mean,angular_velocity,0.9997245335408665,,,,0.9998224518511521,0.9995458922047686,0.9998052565666791,0.23855745254850205,0.36804725736439503,0.2442016125136837
predicted_next_last,orientation,0.2948126561441474,0.2948126561441474,0.21320110180416735,0.7953395429698121,,,,,,
predicted_next_last,angular_velocity,0.023355466113341456,,,,0.07711625548392487,0.024245650035971678,-0.03129550717987217,17.199206563219033,17.0606021439727,17.770869557733064
