horizon_intervals,mean_deg,median_deg,p95_deg
1,0.730246365070343,0.5881738066673279,1.6039329767227173
2,0.9511319398880005,0.7661724090576172,2.047520160675049
3,1.1862337589263916,0.9264064431190491,2.7652008533477783
4,1.4107774496078491,1.070639729499817,3.243746757507324
5,1.6754757165908813,1.226847529411316,3.5229272842407227
6,1.8719500303268433,1.3579697608947754,3.844194173812866
7,2.037914514541626,1.4813345670700073,4.431826591491699
8,2.2299065589904785,1.6188247203826904,5.0829176902771
9,2.3632547855377197,1.6928808689117432,5.619182109832764
