metric,unit,mean,median,p95,maximum,count
orthogonality,frobenius,1.53531701130305e-07,1.4869506514969544e-07,2.935349243671226e-07,4.61697652553994e-07,10500
determinant,absolute,9.319895610815365e-08,1.1920928955078125e-07,2.384185791015625e-07,4.172325134277344e-07,10500
one_step,radian,0.01261142548173666,0.010369558818638325,0.028396932408213615,0.19533029198646545,9450
inverse,radian,0.0025231940671801567,0.0022902425844222307,0.004955518525093794,0.01431101094931364,9450
