horizon_intervals,mean_deg,median_deg,p95_deg
1,0.71454256772995,0.5914908647537231,1.482143759727478
2,0.9659226536750793,0.8242448568344116,1.9451231956481934
3,1.2080192565917969,1.0017104148864746,2.457183361053467
4,1.446805715560913,1.2017076015472412,2.832066535949707
5,1.688271164894104,1.3614248037338257,3.396843671798706
6,1.9055628776550293,1.5390055179595947,3.7543153762817383
7,2.0960919857025146,1.6663612127304077,4.08225154876709
8,2.2959673404693604,1.8163918256759644,4.553741931915283
9,2.465911626815796,1.9218289852142334,4.956760406494141
