intervention,mean_angular_speed,omega_delta_from_forward,omega_reversal_error,motion_delta_from_forward,count
forward,29.3151912689209,0.0,58.6303825378418,0.0,9450
reversed,29.314308166503906,58.612831115722656,1.1069594621658325,177.71534729003906,9450
repeated_last,0.06736256182193756,29.312850952148438,29.317665100097656,121.67965698242188,9450
shuffled,27.148754119873047,34.59436798095703,36.56264877319336,156.5392303466797,9450
