intervention,mean_angular_speed,omega_delta_from_forward,omega_reversal_error,motion_delta_from_forward,count
forward,29.172428131103516,0.0,58.34485626220703,0.0,9450
reversed,29.17946434020996,58.3419189453125,0.9178048372268677,177.53846740722656,9450
repeated_last,0.08326572924852371,29.172849655151367,29.172216415405273,121.54302978515625,9450
shuffled,27.12994384765625,34.41608428955078,36.72230911254883,156.55215454101562,9450
